email_id,date,age,gender,content_type_primary,usage_time_10_2,num_sessions_night,max_continuous_usage,reels_usage_time,phone_pickups_after_10,lose_track_of_time,cannot_stop_scrolling,unplanned_usage,sleep_time,wake_up_time,daily_stress_level,overthinking_at_night,sleep_latency,night_awakenings,sleep_quality,insomnia_label
tanvisingh4@gmail.com,2026-03-15,24,female,Educational,02:06,8,00:17,00:16,25,5,1,4,00:52,07:22,5,3,00:33,3,1,1
vikasreddy@gmail.com,2026-03-15,24,male,Entertainment,02:04,15,00:18,00:12,12,1,3,3,02:04,06:01,5,3,00:45,2,1,1
nehagupta@gmail.com,2026-03-15,24,male,Educational,00:55,10,00:41,00:33,21,2,2,3,02:49,05:26,3,1,00:12,1,4,0
priyashaikh6@gmail.com,2026-03-15,30,female,Entertainment,02:56,15,02:25,02:08,6,1,5,4,00:21,09:33,3,5,00:33,4,1,1
adityaprasad2@gmail.com,2026-03-15,19,male,Educational/Entertainment,01:13,2,00:26,00:12,22,3,2,3,02:17,08:16,3,1,00:22,0,4,0
rahulshaikh504@gmail.com,2026-03-15,30,female,Motivational,01:09,14,00:37,00:29,21,3,4,2,02:25,07:22,3,2,00:25,0,5,0
rohitshah8@gmail.com,2026-03-15,50,male,Emotional/Drama,02:15,12,00:31,00:11,23,1,1,2,01:20,09:39,3,4,00:31,2,2,1
adityasoni843@gmail.com,2026-03-15,35,female,Motivational,01:40,10,01:00,00:22,25,5,2,2,23:58,08:52,1,1,00:06,0,5,0
priyapatel510@gmail.com,2026-03-15,25,female,Educational,01:56,8,00:25,00:25,18,2,4,5,02:29,05:56,3,2,00:20,0,3,0
rahulmehta@gmail.com,2026-03-15,21,female,Entertainment,01:02,15,00:22,00:07,7,3,4,5,00:23,05:12,3,3,00:23,1,5,0
tanvisoni@gmail.com,2026-03-15,30,male,Motivational,02:35,11,01:54,01:27,6,4,4,3,23:48,06:35,4,3,00:37,3,2,1
arjunjoshi987@gmail.com,2026-03-15,19,female,Entertainment,00:28,12,00:16,00:14,8,5,5,1,23:11,05:51,1,3,00:23,0,5,0
amitdesai419@gmail.com,2026-03-15,21,male,Entertainment,02:35,12,01:40,01:30,24,2,2,4,01:19,05:17,4,5,00:44,2,1,1
amitjoshi@gmail.com,2026-03-15,25,male,Entertainment,01:47,13,00:07,00:06,20,3,4,4,23:07,06:50,3,3,00:11,0,5,0
arjunsingh9@gmail.com,2026-03-15,20,female,Educational,02:22,14,01:19,00:10,10,3,1,5,02:52,05:30,4,5,00:32,3,1,1
priyagupta393@gmail.com,2026-03-15,35,female,Entertainment,00:40,2,00:16,00:12,25,2,4,1,02:18,08:04,3,2,00:06,1,5,0
arjunpatel@gmail.com,2026-03-15,55,female,Mixed,01:26,3,00:18,00:07,5,4,1,2,23:51,09:52,3,2,00:21,0,4,0
karansharma@gmail.com,2026-03-15,55,male,Mixed,00:41,10,00:19,00:13,17,1,1,4,02:03,05:41,2,1,00:21,1,3,0
priyashah768@gmail.com,2026-03-16,18,female,Educational/Entertainment,01:15,15,01:04,00:59,24,1,5,1,22:28,06:28,2,2,00:12,1,5,0
karangupta@gmail.com,2026-03-16,20,female,Educational,02:09,3,01:24,00:20,17,2,5,5,01:56,07:42,3,5,00:34,3,1,1
vikasshah871@gmail.com,2026-03-16,21,female,Educational,01:20,5,00:05,00:05,3,3,3,2,23:11,06:20,1,2,00:22,0,4,0
karanreddy6@gmail.com,2026-03-16,24,male,Entertainment,02:49,6,02:12,01:47,10,2,3,3,02:53,07:12,4,5,00:48,3,2,1
vikassharma@gmail.com,2026-03-16,30,male,Motivational,00:59,9,00:17,00:05,11,4,1,3,02:43,09:26,3,1,00:17,0,5,0
anjalisolanki@gmail.com,2026-03-16,20,male,Educational/Entertainment,02:45,12,01:10,00:46,25,1,5,5,23:16,08:16,4,3,00:34,4,2,1
adityasharma1@gmail.com,2026-03-16,45,female,Motivational,01:05,8,00:48,00:21,8,5,3,4,00:31,08:46,3,3,00:25,1,5,0
anjalisolanki@gmail.com,2026-03-16,55,female,Mixed,02:50,7,00:31,00:12,24,5,4,1,00:17,05:17,3,4,00:37,4,1,1
karandesai@gmail.com,2026-03-16,30,male,Motivational,02:42,7,00:10,00:06,17,3,2,5,00:20,05:41,3,3,00:53,3,1,1
kavitashaikh993@gmail.com,2026-03-16,50,male,Mixed,01:13,7,00:44,00:42,21,4,4,4,00:20,08:41,3,1,00:19,1,4,0
nehashaikh@gmail.com,2026-03-16,40,male,Mixed,02:56,14,01:44,01:27,3,3,2,3,22:33,06:31,3,5,00:34,4,2,1
anjalireddy@gmail.com,2026-03-16,19,female,Entertainment,00:40,2,00:29,00:10,9,2,1,3,22:31,06:02,2,3,00:08,1,3,0
anjalishah911@gmail.com,2026-03-16,35,female,Motivational,02:57,8,00:12,00:06,9,1,1,5,22:05,09:52,4,3,00:32,3,1,1
amitprasad@gmail.com,2026-03-16,23,male,Educational,00:30,3,00:14,00:08,10,1,2,5,02:48,05:34,1,1,00:20,0,5,0
poojajoshi@gmail.com,2026-03-16,22,female,Educational/Entertainment,00:58,8,00:47,00:32,18,3,3,4,23:20,07:26,2,2,00:25,0,4,0
arjunsingh@gmail.com,2026-03-16,22,female,Educational/Entertainment,00:53,2,00:41,00:28,25,5,1,5,23:13,08:06,3,3,00:15,0,5,0
priyasoni9@gmail.com,2026-03-16,55,female,Mixed,00:43,3,00:31,00:18,18,2,2,4,01:18,08:32,1,2,00:17,1,4,0
adityapatil@gmail.com,2026-03-16,35,male,Motivational,02:20,3,00:50,00:23,4,2,1,5,00:59,08:15,5,3,00:45,4,2,1
nehapatil@gmail.com,2026-03-16,30,female,Mixed,02:47,7,01:01,00:56,19,2,1,5,23:12,09:55,4,5,00:59,2,1,1
snehasharma5@gmail.com,2026-03-16,25,female,Educational/Entertainment,00:51,5,00:15,00:05,23,3,1,1,01:00,08:51,2,2,00:09,1,5,0
vikassingh474@gmail.com,2026-03-16,45,female,Emotional/Drama,02:37,15,00:28,00:25,7,2,4,3,22:03,09:22,5,4,00:56,4,1,1
vikaspatel2@gmail.com,2026-03-16,20,male,Entertainment,02:42,6,00:07,00:06,15,5,3,4,22:04,08:19,4,3,00:39,4,2,1
anjalipatel9@gmail.com,2026-03-16,23,male,Entertainment,01:13,15,01:01,01:01,23,1,4,3,00:09,06:00,3,3,00:08,0,3,0
rahulprasad3@gmail.com,2026-03-16,45,female,Motivational,01:34,15,01:02,00:25,25,3,5,4,01:33,08:01,3,2,00:21,1,5,0
vikassingh@gmail.com,2026-03-16,19,male,Entertainment,02:20,10,00:47,00:39,21,3,3,1,22:26,07:22,5,5,00:39,3,2,1
vikasmehta965@gmail.com,2026-03-16,30,female,Motivational,02:25,7,01:10,00:35,10,5,1,4,02:39,08:38,5,4,00:46,3,2,1
amitgupta558@gmail.com,2026-03-16,24,male,Educational,01:41,9,00:46,00:34,6,5,5,4,22:09,06:53,1,2,00:19,0,3,0
tanvijoshi997@gmail.com,2026-03-16,25,female,Educational/Entertainment,01:49,6,01:29,00:16,15,1,1,3,01:58,08:04,2,1,00:14,1,5,0
anjaliprasad@gmail.com,2026-03-16,24,female,Educational,02:54,4,01:43,01:31,16,5,3,2,01:54,05:15,3,3,00:36,2,2,1
adityashah3@gmail.com,2026-03-16,23,male,Educational,02:27,12,01:00,00:10,4,2,3,3,01:56,06:26,4,4,00:37,4,2,1
karanshaikh@gmail.com,2026-03-16,25,male,Educational/Entertainment,02:06,9,00:15,00:15,6,1,2,3,23:53,06:28,4,4,00:30,3,1,1
priyagupta659@gmail.com,2026-03-16,50,male,Motivational,02:03,3,01:41,00:58,17,5,4,2,02:04,08:43,5,4,00:55,3,2,1
rohitpatel85@gmail.com,2026-03-16,18,male,Educational/Entertainment,02:27,11,01:56,01:50,23,5,4,5,23:35,06:27,4,4,00:36,2,2,1
karanpatel@gmail.com,2026-03-16,40,male,Mixed,01:06,9,00:09,00:08,15,1,3,3,22:39,07:36,1,1,00:17,0,3,0
rahulsharma1@gmail.com,2026-03-16,23,male,Educational,02:35,11,02:12,01:02,15,5,5,4,02:50,05:25,4,4,00:40,2,2,1
kavitapatel9@gmail.com,2026-03-16,35,female,Entertainment,02:51,13,00:17,00:17,11,1,5,2,23:42,08:20,4,4,00:43,3,2,1
priyagupta9@gmail.com,2026-03-16,23,male,Entertainment,01:57,13,01:00,00:43,9,5,3,2,00:58,05:43,2,2,00:17,0,3,0
adityagupta5@gmail.com,2026-03-16,21,female,Entertainment,01:42,10,01:14,00:23,3,1,2,3,02:19,06:07,3,2,00:20,1,5,0
vikasdesai@gmail.com,2026-03-16,50,female,Emotional/Drama,01:35,11,01:06,01:05,6,2,3,5,02:34,09:55,3,3,00:13,1,3,0
kavitadesai@gmail.com,2026-03-16,19,female,Educational,01:46,14,00:54,00:18,21,3,1,5,23:08,05:15,1,3,00:13,1,4,0
rahulsingh749@gmail.com,2026-03-16,22,male,Educational,02:30,2,02:04,00:32,4,5,1,3,23:40,05:54,3,5,00:52,2,1,1
nehasharma3@gmail.com,2026-03-16,50,male,Motivational,01:03,5,00:26,00:16,7,2,2,1,23:01,06:17,3,1,00:22,1,3,0
adityareddy369@gmail.com,2026-03-16,50,female,Mixed,00:36,9,00:18,00:15,6,2,5,4,23:54,08:08,3,3,00:08,1,5,0
priyapatel@gmail.com,2026-03-16,45,male,Motivational,02:53,12,01:49,01:33,23,3,5,2,02:28,09:29,4,3,00:34,4,1,1
karanshah@gmail.com,2026-03-16,22,male,Educational/Entertainment,02:29,7,02:15,02:00,21,5,5,3,02:40,07:03,5,5,00:44,3,1,1
tanvipatil4@gmail.com,2026-03-16,20,female,Educational/Entertainment,01:49,4,00:16,00:10,6,5,2,3,00:20,06:20,1,2,00:08,1,5,0
poojadesai6@gmail.com,2026-03-16,18,female,Entertainment,02:19,6,01:12,00:45,21,2,4,3,23:31,08:50,4,5,00:33,4,2,1
anjalireddy@gmail.com,2026-03-16,35,female,Motivational,01:00,9,00:11,00:11,12,5,4,4,01:51,05:09,3,2,00:14,0,5,0
nehapatel3@gmail.com,2026-03-16,20,female,Educational/Entertainment,02:28,13,00:51,00:10,23,5,1,2,00:02,08:36,5,3,00:54,2,2,1
karanshaikh@gmail.com,2026-03-16,55,female,Motivational,01:11,8,00:18,00:16,9,3,2,4,02:34,05:51,3,2,00:16,0,5,0
priyaprasad@gmail.com,2026-03-16,25,female,Entertainment,02:51,6,01:38,01:36,19,2,2,5,00:40,07:24,5,4,01:00,4,2,1
kavitareddy8@gmail.com,2026-03-16,22,female,Educational/Entertainment,03:00,3,02:11,00:06,21,1,1,5,00:16,07:42,5,4,01:00,2,1,1
tanvishah9@gmail.com,2026-03-16,22,male,Entertainment,00:41,8,00:14,00:08,3,2,5,4,23:38,05:59,3,3,00:14,0,3,0
anjalireddy718@gmail.com,2026-03-16,50,female,Mixed,01:38,8,00:44,00:08,12,5,3,4,00:39,07:54,1,3,00:23,1,5,0
vikasdesai1@gmail.com,2026-03-16,22,female,Educational,00:52,12,00:14,00:08,25,2,2,4,23:18,09:47,3,3,00:12,1,4,0
rohitsharma@gmail.com,2026-03-16,24,female,Educational/Entertainment,02:33,3,01:57,00:46,23,2,2,1,23:46,08:14,4,3,00:48,3,2,1
karanpatel@gmail.com,2026-03-16,45,female,Emotional/Drama,02:11,3,01:57,00:42,17,3,5,3,22:24,07:01,4,3,00:43,3,2,1
karanjoshi7@gmail.com,2026-03-16,23,male,Educational,02:49,5,00:36,00:17,3,4,3,5,22:10,05:23,5,4,00:36,4,2,1
karansharma@gmail.com,2026-03-16,55,male,Motivational,02:42,4,00:36,00:30,22,3,4,4,23:01,09:58,4,4,00:50,2,2,1
priyasingh4@gmail.com,2026-03-16,18,male,Educational/Entertainment,01:16,6,00:15,00:15,11,4,3,4,01:18,09:36,2,2,00:17,0,3,0
nehapatel4@gmail.com,2026-03-16,30,female,Entertainment,02:33,11,01:11,00:42,9,4,1,1,02:52,08:24,5,3,00:39,3,1,1
anjalisoni146@gmail.com,2026-03-16,21,male,Educational/Entertainment,00:20,8,00:05,00:05,5,1,4,1,22:48,05:49,1,1,00:08,1,3,0
amitshah8@gmail.com,2026-03-16,23,male,Educational,01:34,2,00:13,00:05,17,4,4,5,22:13,07:19,3,1,00:10,0,3,0
anjalipatel4@gmail.com,2026-03-16,18,male,Entertainment,02:36,12,00:25,00:24,7,3,3,3,00:10,06:04,3,3,00:36,3,1,1
tanvisingh4@gmail.com,2026-03-16,24,female,Educational,01:41,12,00:59,00:53,11,1,3,5,01:16,08:46,1,3,00:25,0,3,0
vikasreddy@gmail.com,2026-03-16,24,male,Educational,01:18,13,00:48,00:12,16,4,5,3,02:18,09:03,2,3,00:12,0,4,0
nehagupta@gmail.com,2026-03-16,24,male,Educational,00:42,12,00:12,00:05,17,5,1,4,01:58,07:48,2,3,00:16,1,4,0
priyashaikh6@gmail.com,2026-03-16,30,female,Mixed,01:13,12,00:45,00:11,24,3,2,2,23:58,09:32,1,3,00:21,1,3,0
adityaprasad2@gmail.com,2026-03-16,19,male,Educational,01:45,7,01:03,00:13,22,2,1,5,02:11,07:27,2,3,00:17,0,4,0
rahulshaikh504@gmail.com,2026-03-16,30,female,Mixed,02:23,7,01:00,00:05,8,5,5,2,23:41,07:15,5,4,00:47,2,2,1
rohitshah8@gmail.com,2026-03-16,50,male,Motivational,02:18,5,00:17,00:11,17,5,5,3,23:48,05:36,3,3,00:58,4,2,0
adityasoni843@gmail.com,2026-03-16,35,female,Entertainment,00:42,11,00:26,00:18,11,1,4,5,02:00,05:56,1,2,00:24,1,4,0
priyapatel510@gmail.com,2026-03-16,25,female,Educational,01:45,8,00:20,00:20,21,1,1,4,02:19,09:57,2,2,00:12,1,5,0
rahulmehta@gmail.com,2026-03-16,21,female,Educational,02:09,3,00:45,00:25,7,5,1,2,00:53,06:37,4,4,00:47,2,2,1
tanvisoni@gmail.com,2026-03-16,30,male,Entertainment,01:15,13,00:30,00:15,5,4,5,4,00:40,08:34,2,1,00:06,1,3,0
arjunjoshi987@gmail.com,2026-03-16,19,female,Educational,00:44,12,00:27,00:07,20,5,5,3,23:31,05:08,3,2,00:08,1,5,0
amitdesai419@gmail.com,2026-03-16,21,male,Educational/Entertainment,01:24,9,00:27,00:07,3,3,3,2,22:33,05:01,2,2,00:11,1,3,0
amitjoshi@gmail.com,2026-03-16,25,male,Educational,00:39,15,00:16,00:06,19,4,4,3,01:00,09:29,3,1,00:09,0,5,0
arjunsingh9@gmail.com,2026-03-16,20,female,Entertainment,01:33,3,00:33,00:23,5,2,2,2,23:39,05:16,1,3,00:19,0,3,0
priyagupta393@gmail.com,2026-03-16,35,female,Mixed,01:36,8,00:42,00:09,4,3,5,2,22:30,07:24,3,2,00:24,1,3,0
arjunpatel@gmail.com,2026-03-16,55,female,Emotional/Drama,02:07,2,00:19,00:05,8,3,5,3,22:59,09:44,5,3,00:32,2,2,1
karansharma@gmail.com,2026-03-16,55,male,Motivational,00:27,12,00:09,00:05,23,2,4,5,22:49,05:51,3,1,00:21,1,5,0
priyashah768@gmail.com,2026-03-17,18,female,Educational/Entertainment,02:03,15,00:23,00:09,18,5,1,2,02:09,08:12,5,3,00:41,4,2,1
karangupta@gmail.com,2026-03-17,20,female,Entertainment,00:47,9,00:31,00:22,22,2,2,5,23:39,06:57,1,3,00:14,0,3,0
vikasshah871@gmail.com,2026-03-17,21,female,Educational/Entertainment,01:10,6,00:06,00:05,6,3,2,5,00:07,05:06,2,1,00:25,1,5,0
karanreddy6@gmail.com,2026-03-17,24,male,Entertainment,01:29,9,01:17,01:01,16,2,4,1,02:29,05:59,1,3,00:10,1,5,0
vikassharma@gmail.com,2026-03-17,30,male,Motivational,02:28,11,01:23,00:42,7,2,2,5,23:54,06:36,4,3,00:57,2,2,1
anjalisolanki@gmail.com,2026-03-17,20,male,Entertainment,02:31,8,01:46,00:52,12,5,1,2,02:41,07:16,4,3,00:37,2,2,1
adityasharma1@gmail.com,2026-03-17,45,female,Mixed,00:46,7,00:35,00:08,25,3,1,4,23:58,06:17,1,3,00:17,1,3,0
anjalisolanki@gmail.com,2026-03-17,55,female,Motivational,01:15,13,00:19,00:16,25,4,5,2,22:55,07:22,3,3,00:08,1,5,1
karandesai@gmail.com,2026-03-17,30,male,Motivational,00:58,13,00:29,00:19,18,3,3,1,00:22,06:10,2,1,00:22,1,5,0
kavitashaikh993@gmail.com,2026-03-17,50,male,Motivational,02:58,9,00:50,00:24,14,2,4,4,22:17,08:45,3,3,01:00,3,1,0
nehashaikh@gmail.com,2026-03-17,40,male,Motivational,00:39,9,00:07,00:07,25,3,4,3,02:14,09:07,3,3,00:05,1,3,0
anjalireddy@gmail.com,2026-03-17,19,female,Educational/Entertainment,02:33,5,02:10,00:56,10,2,1,2,01:34,07:10,4,5,00:44,4,1,1
anjalishah911@gmail.com,2026-03-17,35,female,Mixed,02:17,12,00:38,00:33,25,5,2,1,02:24,05:50,5,5,00:51,2,2,1
amitprasad@gmail.com,2026-03-17,23,male,Entertainment,02:41,7,01:03,00:06,16,2,4,3,01:46,06:46,5,5,00:31,3,1,1
poojajoshi@gmail.com,2026-03-17,22,female,Entertainment,02:18,13,00:30,00:27,18,4,5,4,22:02,07:16,5,5,00:53,3,2,1
arjunsingh@gmail.com,2026-03-17,22,female,Educational,01:39,6,01:15,00:42,4,5,2,4,02:43,05:04,3,1,00:16,0,5,0
priyasoni9@gmail.com,2026-03-17,55,female,Motivational,01:15,14,00:29,00:22,3,2,5,2,22:19,08:12,3,2,00:18,0,3,0
adityapatil@gmail.com,2026-03-17,35,male,Mixed,01:50,13,00:28,00:07,17,1,4,2,00:16,07:29,3,2,00:19,1,3,0
nehapatil@gmail.com,2026-03-17,30,female,Mixed,02:38,15,01:08,00:49,23,2,3,3,02:00,06:07,3,5,00:52,3,1,1
snehasharma5@gmail.com,2026-03-17,25,female,Educational/Entertainment,01:11,15,00:32,00:29,21,1,3,1,01:08,06:56,2,3,00:20,1,4,0
